DATE,NUM_ASYMPTOMATIC,NUM_CRITICAL,NUM_DAILY_CASES,NUM_TOT_DIED,NUM_MILD,NUM_TOT_RECOVERED,NUM_SEVERE,NUM_TOT_CASES,NUM_DAILY_MILD,NUM_DAILY_ASYMPTOMATIC,NUM_DAILY_SEVERE,NUM_DAILY_CRITICAL,NUM_DAILY_DIED,NUM_DAILY_RECOVERED,MA7_NUM_ASYMPTOMATIC,MA7_NUM_CRITICAL,MA7_NUM_DAILY_CASES,MA7_NUM_TOT_DIED,MA7_NUM_MILD,MA7_NUM_TOT_RECOVERED,MA7_NUM_SEVERE,MA7_NUM_TOT_CASES,MA7_NUM_DAILY_MILD,MA7_NUM_DAILY_ASYMPTOMATIC,MA7_NUM_DAILY_SEVERE,MA7_NUM_DAILY_CRITICAL,MA7_NUM_DAILY_DIED,MA7_NUM_DAILY_RECOVERED,NUM_ASYMPTOMATIC_per_100kpop,NUM_CRITICAL_per_100kpop,NUM_DAILY_CASES_per_100kpop,NUM_TOT_DIED_per_100kpop,NUM_MILD_per_100kpop,NUM_TOT_RECOVERED_per_100kpop,NUM_SEVERE_per_100kpop,NUM_TOT_CASES_per_100kpop,NUM_DAILY_MILD_per_100kpop,NUM_DAILY_ASYMPTOMATIC_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,NUM_DAILY_CRITICAL_per_100kpop,NUM_DAILY_DIED_per_100kpop,NUM_DAILY_RECOVERED_per_100kpop,MA7_NUM_ASYMPTOMATIC_per_100kpop,MA7_NUM_CRITICAL_per_100kpop,MA7_NUM_DAILY_CASES_per_100kpop,MA7_NUM_TOT_DIED_per_100kpop,MA7_NUM_MILD_per_100kpop,MA7_NUM_TOT_RECOVERED_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_TOT_CASES_per_100kpop,MA7_NUM_DAILY_MILD_per_100kpop,MA7_NUM_DAILY_ASYMPTOMATIC_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_DAILY_CRITICAL_per_100kpop,MA7_NUM_DAILY_DIED_per_100kpop,MA7_NUM_DAILY_RECOVERED_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-12-23,102.0,23.0,69.0,315.0,1757.0,9826.0,28.0,12051.0,50.0,17.0,-1.0,0.0,0.0,3.0,97.57142857142857,21.57142857142857,102.57142857142857,308.0,1786.4285714285713,9495.857142857143,28.142857142857142,11737.571428571428,-16.857142857142858,6.428571428571428,0.5714285714285714,0.42857142857142855,3.2857142857142856,108.71428571428571,1.8981866757971857,0.4280224857189733,1.2840674571569197,5.862047087020721,32.69719597427113,182.85864976846221,0.5210708521796196,224.26517284344985,0.9304836646064636,0.3163644459661976,-0.018609673292129272,0.0,0.0,0.05582901987638782,1.815772408360619,0.4014372381587884,1.9088207748212596,5.731779373975814,33.244852074010936,176.71479905730354,0.5237293769356379,218.4323695287453,-0.3137059212101798,0.11963361402083114,0.010634099024073878,0.007975574268055403,0.06114606938842476,2.023137339330054,Davao Region (Region XI),11,PH110000000
2020-12-24,102.0,23.0,147.0,315.0,1903.0,9828.0,27.0,12198.0,146.0,0.0,-1.0,0.0,0.0,2.0,103.85714285714285,22.0,112.85714285714285,311.1428571428571,1780.0,9604.857142857143,28.57142857142857,11850.42857142857,-6.428571428571428,6.285714285714286,0.42857142857142855,0.42857142857142855,3.142857142857143,109.0,1.8981866757971857,0.4280224857189733,2.735621973943003,5.862047087020721,35.414208274922004,182.89586911504648,0.5024611788874903,227.00079481739286,2.7170123006508735,0.0,-0.018609673292129272,0.0,0.0,0.037219346584258545,1.9327474976254315,0.4094128124268438,2.1002345572545895,5.7902669186082205,33.12521845999011,178.74325344614564,0.5317049512036933,220.53260408599988,-0.1196336140208317,0.11697508926481268,0.00797557426805541,0.007975574268055403,0.058487544632406296,2.028454388842091,Davao Region (Region XI),11,PH110000000
2020-12-25,102.0,23.0,122.0,315.0,2016.0,9837.0,27.0,12320.0,113.0,0.0,0.0,0.0,0.0,9.0,106.14285714285714,22.428571428571427,116.57142857142857,314.1428571428571,1781.0,9714.571428571428,28.71428571428571,11967.0,1.0,2.2857142857142856,0.14285714285714285,0.42857142857142855,3.0,109.71428571428571,1.8981866757971857,0.4280224857189733,2.2703801416397713,5.862047087020721,37.51710135693261,183.06335617467565,0.5024611788874903,229.27117495903263,2.1028930820106075,0.0,0.0,0.0,0.0,0.16748705962916344,1.975283893721727,0.4173883866948992,2.1693562009110696,5.846095938484609,33.143828133282234,180.78500045876783,0.5343634759597118,222.70196028691095,0.01860967329212856,0.04253639609629561,0.0026585247560184755,0.007975574268055403,0.05582901987638783,2.0417470126221833,Davao Region (Region XI),11,PH110000000
2020-12-26,102.0,23.0,95.0,315.0,2111.0,9837.0,27.0,12415.0,95.0,0.0,0.0,0.0,0.0,0.0,94.42857142857142,22.71428571428571,115.42857142857142,314.57142857142856,1797.7142857142856,9824.714285714284,28.285714285714285,12082.42857142857,16.71428571428571,-11.714285714285714,-0.42857142857142855,0.2857142857142857,0.42857142857142855,110.14285714285714,1.8981866757971857,0.4280224857189733,1.7679189627522809,5.862047087020721,39.2850203196849,183.06335617467565,0.5024611788874903,231.0390939217849,1.7679189627522809,0.0,0.0,0.0,0.0,0.0,1.7572848637282124,0.4227054362069361,2.148088002862922,5.854071512752664,33.4548755297364,182.83472304565805,0.5263879016916564,224.85004828977384,0.31104739645416,-0.2179990299935142,-0.007975574268055395,0.005317049512036937,0.007975574268055419,2.0497225868902387,Davao Region (Region XI),11,PH110000000
2020-12-27,30.0,22.0,75.0,325.0,1453.0,10635.0,25.0,12490.0,-658.0,-72.0,-2.0,-1.0,10.0,798.0,86.71428571428571,22.71428571428571,110.42857142857142,316.4285714285714,1797.0,9942.42857142857,27.57142857142857,12192.857142857141,-0.7142857142857142,-7.7142857142857135,-0.7142857142857142,0.0,1.857142857142857,117.71428571428571,0.5582901987638782,0.40941281242684396,1.3957254969096955,6.048143819942013,27.039855293463834,197.91387546179482,0.4652418323032318,232.43481941869462,-12.245165026221061,-1.3398964770333075,-0.037219346584258545,-0.018609673292129272,0.18609673292129272,14.850519287119159,1.6137245269032152,0.4227054362069361,2.0550396364022756,5.888632334580905,33.4415829059563,185.02534744461727,0.5130952779115641,226.90508792617612,-0.013292623780093025,-0.1435603368249971,-0.01329262378009233,1.982541115402065e-18,0.03456082182824009,2.1906243989592173,Davao Region (Region XI),11,PH110000000
2020-12-28,34.0,22.0,76.0,331.0,1517.0,10636.0,26.0,12566.0,64.0,4.0,1.0,0.0,6.0,1.0,79.57142857142857,22.71428571428571,96.0,318.7142857142857,1780.5714285714284,10060.285714285714,27.0,12288.857142857141,-16.428571428571427,-7.142857142857142,-0.5714285714285714,0.0,2.2857142857142856,117.85714285714285,0.6327288919323952,0.40941281242684396,1.4143351702018248,6.159801859694789,28.230874384160106,197.93248513508695,0.48385150559536105,233.84915458889643,1.1910190906962734,0.07443869316851709,0.018609673292129272,0.0,0.11165803975277563,0.018609673292129272,1.480798289102292,0.4227054362069361,1.7865286360444101,5.9311687306772,33.13585255901418,187.21863036833253,0.5024611788874902,228.6916165622205,-0.3057303469421244,-0.13292623780092325,-0.010634099024073862,1.982541115402065e-18,0.042536396096295497,2.193282923715236,Davao Region (Region XI),11,PH110000000
2020-12-29,39.0,22.0,91.0,334.0,1600.0,10636.0,26.0,12657.0,83.0,5.0,0.0,0.0,3.0,0.0,73.0,22.57142857142857,96.42857142857142,321.4285714285714,1765.2857142857142,10176.42857142857,26.57142857142857,12385.285714285714,-15.285714285714285,-6.571428571428571,-0.42857142857142855,-0.14285714285714285,2.714285714285714,116.14285714285714,0.7257772583930416,0.40941281242684396,1.6934802695837639,6.215630879571177,29.775477267406835,197.93248513508695,0.48385150559536105,235.5426348584802,1.5446028832467296,0.09304836646064636,0.0,0.0,0.05582901987638782,0.0,1.3585061503254428,0.42004691145091766,1.7945042103124655,5.98168070104155,32.8513904101202,189.38001099497555,0.4944856046194348,230.48612077253296,-0.2844621488939767,-0.12229213877684937,-0.007975574268055395,-0.0026585247560184655,0.0505119703643509,2.1613806266430142,Davao Region (Region XI),11,PH110000000
2020-12-30,41.0,22.0,26.0,334.0,1624.0,10636.0,26.0,12683.0,24.0,2.0,0.0,0.0,0.0,0.0,64.28571428571428,22.428571428571427,90.28571428571428,324.1428571428571,1746.2857142857142,10292.142857142857,26.285714285714285,12475.571428571428,-19.0,-8.714285714285714,-0.2857142857142857,-0.14285714285714285,2.714285714285714,115.71428571428571,0.7629966049773002,0.40941281242684396,0.48385150559536105,6.215630879571177,30.222109426417937,197.93248513508695,0.48385150559536105,236.02648636407557,0.44663215901110254,0.037219346584258545,0.0,0.0,0.0,0.0,1.196336140208316,0.4173883866948992,1.6801876458036715,6.0321926714059,32.49780661756974,191.5334160473505,0.4891685551073979,232.16630841833663,-0.35358379255045685,-0.1621700101171264,-0.005317049512036927,-0.0026585247560184655,0.0505119703643509,2.153405052374959,Davao Region (Region XI),11,PH110000000
2020-12-31,43.0,22.0,77.0,334.0,1685.0,10650.0,26.0,12760.0,61.0,2.0,0.0,0.0,0.0,14.0,55.857142857142854,22.285714285714285,80.28571428571428,326.85714285714283,1715.142857142857,10409.571428571428,26.142857142857142,12555.857142857141,-31.142857142857142,-8.428571428571429,-0.14285714285714285,-0.14285714285714285,2.714285714285714,117.42857142857142,0.8002159515615587,0.40941281242684396,1.432944843493954,6.215630879571177,31.357299497237822,198.19302056117675,0.48385150559536105,237.4594312075695,1.1351900708198857,0.037219346584258545,0.0,0.0,0.0,0.2605354260898098,1.0394831796032264,0.41472986193888073,1.4940909128823787,6.082704641770251,31.918248220757718,193.7187233967977,0.4865100303513794,233.66039933121903,-0.5795583968120265,-0.15685296060508946,-0.0026585247560184594,-0.0026585247560184655,0.0505119703643509,2.1853073494471804,Davao Region (Region XI),11,PH110000000
2021-01-01,43.0,22.0,148.0,334.0,1823.0,10660.0,26.0,12908.0,138.0,0.0,0.0,0.0,0.0,10.0,47.42857142857142,22.142857142857142,84.0,329.57142857142856,1687.5714285714284,10527.142857142857,26.0,12639.857142857141,-27.57142857142857,-8.428571428571429,-0.14285714285714285,-0.14285714285714285,2.714285714285714,117.57142857142857,0.8002159515615587,0.40941281242684396,2.7542316472351325,6.215630879571177,33.92543441155166,198.37911729409805,0.48385150559536105,240.21366285480465,2.5681349143138394,0.0,0.0,0.0,0.0,0.18609673292129272,0.8826302189981369,0.41207133718286226,1.5632125565388588,6.133216612134601,31.405152942846154,195.90668927100091,0.48385150559536094,235.2236118877579,-0.5130952779115647,-0.15685296060508946,-0.0026585247560184594,-0.0026585247560184655,0.0505119703643509,2.187965874203199,Davao Region (Region XI),11,PH110000000
