DATE,NUM_ASYMPTOMATIC,NUM_DAILY_ASYMPTOMATIC,MA7_NUM_ASYMPTOMATIC,MA7_NUM_DAILY_ASYMPTOMATIC,NUM_ASYMPTOMATIC_per_100kpop,NUM_DAILY_ASYMPTOMATIC_per_100kpop,MA7_NUM_ASYMPTOMATIC_per_100kpop,MA7_NUM_DAILY_ASYMPTOMATIC_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-12-28,4.0,0.0,3.142857142857143,0.42857142857142855,0.07756302051392278,0.0,0.060942373260940666,0.008310323626491842,Northern Mindanao (Region X),10,PH100000000
2020-12-29,4.0,0.0,3.571428571428571,0.42857142857142855,0.07756302051392278,0.0,0.0692526968874324,0.008310323626491842,Northern Mindanao (Region X),10,PH100000000
2020-12-30,4.0,0.0,4.0,0.42857142857142855,0.07756302051392278,0.0,0.07756302051392411,0.008310323626491842,Northern Mindanao (Region X),10,PH100000000
2020-12-31,4.0,0.0,4.285714285714286,0.2857142857142857,0.07756302051392278,0.0,0.0831032362649186,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-01-01,4.0,0.0,4.142857142857142,-0.14285714285714285,0.07756302051392278,0.0,0.08033312838942136,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-02,4.0,0.0,4.0,-0.14285714285714285,0.07756302051392278,0.0,0.07756302051392412,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-03,3.0,-1.0,3.8571428571428568,-0.14285714285714285,0.05817226538544208,-0.019390755128480694,0.0747929126384269,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-04,3.0,0.0,3.714285714285714,-0.14285714285714285,0.05817226538544208,0.0,0.07202280476292966,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-05,4.0,1.0,3.714285714285714,0.0,0.07756302051392278,0.019390755128480694,0.07202280476292966,1.1696992580872185e-16,Northern Mindanao (Region X),10,PH100000000
2021-01-06,5.0,1.0,3.8571428571428568,0.14285714285714285,0.09695377564240347,0.019390755128480694,0.0747929126384269,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-07,5.0,0.0,4.0,0.14285714285714285,0.09695377564240347,0.0,0.07756302051392412,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-08,5.0,0.0,4.142857142857142,0.14285714285714285,0.09695377564240347,0.0,0.08033312838942136,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-09,5.0,0.0,4.285714285714286,0.14285714285714285,0.09695377564240347,0.0,0.0831032362649186,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-10,2.0,-3.0,4.142857142857142,-0.14285714285714285,0.03878151025696139,-0.05817226538544208,0.08033312838942136,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-11,2.0,0.0,4.0,-0.14285714285714285,0.03878151025696139,0.0,0.07756302051392412,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-12,2.0,0.0,3.714285714285714,-0.2857142857142857,0.03878151025696139,0.0,0.07202280476292965,-0.005540215750994367,Northern Mindanao (Region X),10,PH100000000
2021-01-13,1.0,-1.0,3.142857142857143,-0.5714285714285714,0.019390755128480694,-0.019390755128480694,0.06094237326094067,-0.01108043150198885,Northern Mindanao (Region X),10,PH100000000
2021-01-14,0.0,-1.0,2.4285714285714284,-0.7142857142857142,0.0,-0.019390755128480694,0.04709183388345446,-0.013850539377486093,Northern Mindanao (Region X),10,PH100000000
2021-01-15,1.0,1.0,1.857142857142857,-0.5714285714285714,0.019390755128480694,0.019390755128480694,0.036011402381465496,-0.01108043150198885,Northern Mindanao (Region X),10,PH100000000
2021-01-16,1.0,0.0,1.2857142857142856,-0.5714285714285714,0.019390755128480694,0.0,0.024930970879476527,-0.01108043150198885,Northern Mindanao (Region X),10,PH100000000
2021-01-17,1.0,0.0,1.1428571428571428,-0.14285714285714285,0.019390755128480694,0.0,0.02216086300397928,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-18,1.0,0.0,1.0,-0.14285714285714285,0.019390755128480694,0.0,0.01939075512848204,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-01-19,2.0,1.0,1.0,0.0,0.03878151025696139,0.019390755128480694,0.01939075512848204,1.1696992580872185e-16,Northern Mindanao (Region X),10,PH100000000
2021-01-20,2.0,0.0,1.1428571428571428,0.14285714285714285,0.03878151025696139,0.0,0.02216086300397928,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-21,2.0,0.0,1.4285714285714284,0.2857142857142857,0.03878151025696139,0.0,0.027701078754973768,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-01-22,3.0,1.0,1.7142857142857142,0.2857142857142857,0.05817226538544208,0.019390755128480694,0.03324129450596825,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-01-23,3.0,0.0,2.0,0.2857142857142857,0.05817226538544208,0.0,0.03878151025696273,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-01-24,3.0,0.0,2.2857142857142856,0.2857142857142857,0.05817226538544208,0.0,0.04432172600795722,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-01-25,3.0,0.0,2.571428571428571,0.2857142857142857,0.05817226538544208,0.0,0.04986194175895171,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-01-26,3.0,0.0,2.714285714285714,0.14285714285714285,0.05817226538544208,0.0,0.05263204963444895,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-27,3.0,0.0,2.8571428571428568,0.14285714285714285,0.05817226538544208,0.0,0.05540215750994619,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-28,3.0,0.0,3.0,0.14285714285714285,0.05817226538544208,0.0,0.058172265385443435,0.002770107875497359,Northern Mindanao (Region X),10,PH100000000
2021-01-29,3.0,0.0,3.0,0.0,0.05817226538544208,0.0,0.058172265385443435,1.1696992580872185e-16,Northern Mindanao (Region X),10,PH100000000
2021-01-30,3.0,0.0,3.0,0.0,0.05817226538544208,0.0,0.058172265385443435,1.1696992580872185e-16,Northern Mindanao (Region X),10,PH100000000
2021-01-31,2.0,-1.0,2.8571428571428568,-0.14285714285714285,0.03878151025696139,-0.019390755128480694,0.05540215750994619,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-02-01,2.0,0.0,2.714285714285714,-0.14285714285714285,0.03878151025696139,0.0,0.05263204963444895,-0.002770107875497125,Northern Mindanao (Region X),10,PH100000000
2021-02-02,5.0,3.0,3.0,0.2857142857142857,0.09695377564240347,0.05817226538544208,0.05817226538544343,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-02-03,5.0,0.0,3.2857142857142856,0.2857142857142857,0.09695377564240347,0.0,0.06371248113643792,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-02-04,5.0,0.0,3.571428571428571,0.2857142857142857,0.09695377564240347,0.0,0.06925269688743241,0.005540215750994601,Northern Mindanao (Region X),10,PH100000000
2021-02-05,12.0,7.0,4.857142857142857,1.2857142857142856,0.23268906154176833,0.13573528589936487,0.09418366776690758,0.0249309708794753,Northern Mindanao (Region X),10,PH100000000
2021-02-06,12.0,0.0,6.142857142857142,1.2857142857142856,0.23268906154176833,0.0,0.11911463864638276,0.0249309708794753,Northern Mindanao (Region X),10,PH100000000
2021-02-07,3.0,-9.0,6.285714285714286,0.14285714285714285,0.05817226538544208,-0.17451679615632626,0.12188474652188,0.002770107875497363,Northern Mindanao (Region X),10,PH100000000
2021-02-08,3.0,0.0,6.428571428571428,0.14285714285714285,0.05817226538544208,0.0,0.12465485439737724,0.002770107875497363,Northern Mindanao (Region X),10,PH100000000
2021-02-09,3.0,0.0,6.142857142857142,-0.2857142857142857,0.05817226538544208,0.0,0.11911463864638275,-0.005540215750994362,Northern Mindanao (Region X),10,PH100000000
2021-02-10,3.0,0.0,5.857142857142857,-0.2857142857142857,0.05817226538544208,0.0,0.11357442289538826,-0.005540215750994362,Northern Mindanao (Region X),10,PH100000000
2021-02-11,4.0,1.0,5.7142857142857135,-0.14285714285714285,0.07756302051392278,0.019390755128480694,0.11080431501989102,-0.002770107875497121,Northern Mindanao (Region X),10,PH100000000
2021-02-12,4.0,0.0,4.571428571428571,-1.1428571428571428,0.07756302051392278,0.0,0.08864345201591309,-0.022160863003977817,Northern Mindanao (Region X),10,PH100000000
2021-02-13,4.0,0.0,3.4285714285714284,-1.1428571428571428,0.07756302051392278,0.0,0.06648258901193516,-0.022160863003977817,Northern Mindanao (Region X),10,PH100000000
2021-02-14,1.0,-3.0,3.142857142857143,-0.2857142857142857,0.019390755128480694,-0.05817226538544208,0.060942373260940666,-0.005540215750994362,Northern Mindanao (Region X),10,PH100000000
2021-02-15,1.0,0.0,2.8571428571428568,-0.2857142857142857,0.019390755128480694,0.0,0.055402157509946176,-0.005540215750994362,Northern Mindanao (Region X),10,PH100000000
2021-02-16,1.0,0.0,2.571428571428571,-0.2857142857142857,0.019390755128480694,0.0,0.049861941758951686,-0.005540215750994362,Northern Mindanao (Region X),10,PH100000000
2021-02-17,1.0,0.0,2.2857142857142856,-0.2857142857142857,0.019390755128480694,0.0,0.0443217260079572,-0.005540215750994362,Northern Mindanao (Region X),10,PH100000000
2021-02-18,1.0,0.0,1.857142857142857,-0.42857142857142855,0.019390755128480694,0.0,0.036011402381465475,-0.008310323626491605,Northern Mindanao (Region X),10,PH100000000
2021-02-19,1.0,0.0,1.4285714285714284,-0.42857142857142855,0.019390755128480694,0.0,0.027701078754973754,-0.008310323626491605,Northern Mindanao (Region X),10,PH100000000
2021-02-20,1.0,0.0,1.0,-0.42857142857142855,0.019390755128480694,0.0,0.01939075512848203,-0.008310323626491605,Northern Mindanao (Region X),10,PH100000000
2021-02-21,1.0,0.0,1.0,0.0,0.019390755128480694,0.0,0.01939075512848203,1.2093500803952597e-16,Northern Mindanao (Region X),10,PH100000000
2021-02-22,1.0,0.0,1.0,0.0,0.019390755128480694,0.0,0.01939075512848203,1.2093500803952597e-16,Northern Mindanao (Region X),10,PH100000000
2021-02-23,1.0,0.0,1.0,0.0,0.019390755128480694,0.0,0.01939075512848203,1.2093500803952597e-16,Northern Mindanao (Region X),10,PH100000000
2021-02-24,1.0,0.0,1.0,0.0,0.019390755128480694,0.0,0.01939075512848203,1.2093500803952597e-16,Northern Mindanao (Region X),10,PH100000000
2021-02-25,1.0,0.0,1.0,0.0,0.019390755128480694,0.0,0.01939075512848203,1.2093500803952597e-16,Northern Mindanao (Region X),10,PH100000000
2021-02-26,1.0,0.0,1.0,0.0,0.019390755128480694,0.0,0.01939075512848203,1.2093500803952597e-16,Northern Mindanao (Region X),10,PH100000000
2020-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cagayan Valley (Region II),2,PH020000000
2020-04-26,1.0,1.0,0.5,0.5,0.02709472090175738,0.02709472090175738,0.01354736045087869,0.01354736045087869,Cagayan Valley (Region II),2,PH020000000
2020-04-27,1.0,0.0,0.6666666666666666,0.3333333333333333,0.02709472090175738,0.0,0.018063147267838253,0.009031573633919127,Cagayan Valley (Region II),2,PH020000000
2020-04-28,2.0,1.0,1.0,0.5,0.05418944180351476,0.02709472090175738,0.02709472090175738,0.01354736045087869,Cagayan Valley (Region II),2,PH020000000
2020-04-29,2.0,0.0,1.2,0.4,0.05418944180351476,0.0,0.03251366508210886,0.010837888360702952,Cagayan Valley (Region II),2,PH020000000
2020-04-30,2.0,0.0,1.3333333333333333,0.3333333333333333,0.05418944180351476,0.0,0.036126294535676506,0.009031573633919127,Cagayan Valley (Region II),2,PH020000000
