DATE,NUM_SEVERE,NUM_DAILY_SEVERE,MA7_NUM_SEVERE,MA7_NUM_DAILY_SEVERE,NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-05-09,33.0,0.0,35.14285714285714,-0.7142857142857142,0.23532006191202512,0.0,0.250600585412806,-0.0050935078335936175,Metropolitan Manila,NCR,PH130000000
2020-05-10,33.0,0.0,34.57142857142857,-0.5714285714285714,0.23532006191202512,0.0,0.2465257791459311,-0.004074806266874894,Metropolitan Manila,NCR,PH130000000
2020-05-11,34.0,1.0,34.14285714285714,-0.42857142857142855,0.2424509728790562,0.0071309109670310645,0.24346967444577494,-0.003056104700156171,Metropolitan Manila,NCR,PH130000000
2020-05-12,33.0,-1.0,33.57142857142857,-0.5714285714285714,0.23532006191202512,-0.0071309109670310645,0.23939486817890004,-0.004074806266874894,Metropolitan Manila,NCR,PH130000000
2020-05-13,35.0,2.0,33.57142857142857,0.0,0.24958188384608726,0.014261821934062129,0.23939486817890004,-4.956352788505163e-19,Metropolitan Manila,NCR,PH130000000
2020-05-14,38.0,3.0,34.14285714285714,0.5714285714285714,0.27097461674718043,0.021392732901093194,0.24346967444577494,0.004074806266874893,Metropolitan Manila,NCR,PH130000000
2020-05-15,36.0,-2.0,34.57142857142857,0.42857142857142855,0.2567127948131183,-0.014261821934062129,0.2465257791459311,0.00305610470015617,Metropolitan Manila,NCR,PH130000000
2020-05-16,38.0,2.0,35.285714285714285,0.7142857142857142,0.27097461674718043,0.014261821934062129,0.2516192869795247,0.005093507833593617,Metropolitan Manila,NCR,PH130000000
2020-05-17,38.0,0.0,36.0,0.7142857142857142,0.27097461674718043,0.0,0.2567127948131183,0.005093507833593617,Metropolitan Manila,NCR,PH130000000
2020-05-18,38.0,0.0,36.57142857142857,0.5714285714285714,0.27097461674718043,0.0,0.2607876010799932,0.004074806266874893,Metropolitan Manila,NCR,PH130000000
2020-05-19,38.0,0.0,37.285714285714285,0.7142857142857142,0.27097461674718043,0.0,0.2658811089135868,0.005093507833593617,Metropolitan Manila,NCR,PH130000000
2020-05-20,38.0,0.0,37.714285714285715,0.42857142857142855,0.27097461674718043,0.0,0.26893721361374295,0.00305610470015617,Metropolitan Manila,NCR,PH130000000
2020-05-21,38.0,0.0,37.714285714285715,0.0,0.27097461674718043,0.0,0.26893721361374295,-4.956352788505163e-19,Metropolitan Manila,NCR,PH130000000
2020-05-22,36.0,-2.0,37.714285714285715,0.0,0.2567127948131183,-0.014261821934062129,0.26893721361374295,-4.956352788505163e-19,Metropolitan Manila,NCR,PH130000000
2020-05-23,37.0,1.0,37.57142857142857,-0.14285714285714285,0.2638437057801494,0.0071309109670310645,0.26791851204702427,-0.001018701566718724,Metropolitan Manila,NCR,PH130000000
2020-05-24,42.0,5.0,38.14285714285714,0.5714285714285714,0.2994982606153047,0.035654554835155325,0.27199331831389917,0.004074806266874894,Metropolitan Manila,NCR,PH130000000
2020-05-25,38.0,-4.0,38.14285714285714,0.0,0.27097461674718043,-0.028523643868124258,0.27199331831389917,0.0,Metropolitan Manila,NCR,PH130000000
2020-05-26,35.0,-3.0,37.714285714285715,-0.42857142857142855,0.24958188384608726,-0.021392732901093194,0.26893721361374295,-0.0030561047001561705,Metropolitan Manila,NCR,PH130000000
2020-05-27,38.0,3.0,37.714285714285715,0.0,0.27097461674718043,0.021392732901093194,0.26893721361374295,0.0,Metropolitan Manila,NCR,PH130000000
2020-05-28,35.0,-3.0,37.285714285714285,-0.42857142857142855,0.24958188384608726,-0.021392732901093194,0.2658811089135868,-0.0030561047001561705,Metropolitan Manila,NCR,PH130000000
2020-05-29,37.0,2.0,37.42857142857142,0.14285714285714285,0.2638437057801494,0.014261821934062129,0.26689981048030553,0.0010187015667187233,Metropolitan Manila,NCR,PH130000000
2020-05-30,36.0,-1.0,37.285714285714285,-0.14285714285714285,0.2567127948131183,-0.0071309109670310645,0.2658811089135868,-0.0010187015667187235,Metropolitan Manila,NCR,PH130000000
2020-05-31,37.0,0.19999999999999996,36.57142857142857,-0.8285714285714285,0.2638437057801494,0.0014261821934062136,0.26078760107999316,-0.005908469086968596,Metropolitan Manila,NCR,PH130000000
2020-06-01,38.0,1.4,36.57142857142857,-0.057142857142857065,0.27097461674718043,0.009983275353843492,0.26078760107999316,-0.00040748062668748933,Metropolitan Manila,NCR,PH130000000
2020-06-02,39.0,2.5999999999999996,37.14285714285714,0.7428571428571429,0.27810552771421154,0.018540368514280772,0.26486240734686806,0.005297248146937363,Metropolitan Manila,NCR,PH130000000
2020-06-03,40.0,3.8,37.42857142857142,0.8571428571428571,0.2852364386812426,0.02709746167471805,0.26689981048030553,0.006112209400312342,Metropolitan Manila,NCR,PH130000000
2020-06-04,41.0,5.0,38.285714285714285,2.0,0.29236734964827366,0.035654554835155325,0.27301201988061785,0.01426182193406213,Metropolitan Manila,NCR,PH130000000
2020-06-05,37.0,-4.0,38.285714285714285,1.1428571428571428,0.2638437057801494,-0.028523643868124258,0.27301201988061785,0.00814961253374979,Metropolitan Manila,NCR,PH130000000
2020-06-06,36.0,-1.0,38.285714285714285,1.1428571428571428,0.2567127948131183,-0.0071309109670310645,0.27301201988061785,0.00814961253374979,Metropolitan Manila,NCR,PH130000000
2020-06-07,36.0,0.0,38.14285714285714,1.114285714285714,0.2567127948131183,0.0,0.27199331831389917,0.007945872220406046,Metropolitan Manila,NCR,PH130000000
2020-06-08,34.0,-2.0,37.57142857142857,0.6285714285714286,0.2424509728790562,-0.014261821934062129,0.26791851204702427,0.004482286893562385,Metropolitan Manila,NCR,PH130000000
2020-06-09,41.0,7.0,37.857142857142854,1.2571428571428571,0.29236734964827366,0.04991637676921745,0.2699559151804617,0.008964573787124766,Metropolitan Manila,NCR,PH130000000
2020-06-10,40.0,-1.0,37.857142857142854,0.5714285714285715,0.2852364386812426,-0.0071309109670310645,0.2699559151804617,0.004074806266874894,Metropolitan Manila,NCR,PH130000000
2020-06-11,49.0,9.0,39.0,1.1428571428571428,0.34941463738452216,0.06417819870327958,0.2781055277142115,0.008149612533749788,Metropolitan Manila,NCR,PH130000000
2020-06-12,50.0,1.0,40.857142857142854,1.857142857142857,0.3565455483515532,0.0071309109670310645,0.29134864808155486,0.013243120367343406,Metropolitan Manila,NCR,PH130000000
2020-06-13,46.0,-4.0,42.285714285714285,1.4285714285714284,0.32802190448342894,-0.028523643868124258,0.3015356637487421,0.010187015667187235,Metropolitan Manila,NCR,PH130000000
2020-06-14,46.0,0.0,43.714285714285715,1.4285714285714284,0.32802190448342894,0.0,0.3117226794159293,0.010187015667187235,Metropolitan Manila,NCR,PH130000000
2020-06-15,45.0,-1.0,45.285714285714285,1.5714285714285714,0.3208909935163979,-0.0071309109670310645,0.32292839664983525,0.01120571723390596,Metropolitan Manila,NCR,PH130000000
2020-06-16,44.0,-1.0,45.71428571428571,0.42857142857142855,0.3137600825493668,-0.0071309109670310645,0.3259845013499914,0.0030561047001561718,Metropolitan Manila,NCR,PH130000000
2020-06-17,43.0,-1.0,46.14285714285714,0.42857142857142855,0.30662917158233577,-0.0071309109670310645,0.32904060605014757,0.0030561047001561718,Metropolitan Manila,NCR,PH130000000
2020-06-18,40.0,-3.0,44.857142857142854,-1.2857142857142856,0.2852364386812426,-0.021392732901093194,0.31987229194967903,-0.009168314100468509,Metropolitan Manila,NCR,PH130000000
2020-06-19,41.0,1.0,43.57142857142857,-1.2857142857142856,0.29236734964827366,0.0071309109670310645,0.3107039778492105,-0.009168314100468509,Metropolitan Manila,NCR,PH130000000
2020-06-20,39.0,-2.0,42.57142857142857,-1.0,0.2781055277142115,-0.014261821934062129,0.3035730668821795,-0.007130910967031062,Metropolitan Manila,NCR,PH130000000
2020-06-21,40.0,1.0,41.714285714285715,-0.8571428571428571,0.2852364386812426,0.0071309109670310645,0.2974608574818671,-0.006112209400312339,Metropolitan Manila,NCR,PH130000000
2020-06-22,39.0,-1.0,40.857142857142854,-0.8571428571428571,0.2781055277142115,-0.0071309109670310645,0.2913486480815548,-0.006112209400312339,Metropolitan Manila,NCR,PH130000000
2020-06-23,56.0,17.0,42.57142857142857,1.7142857142857142,0.3993310141537396,0.1212254864395281,0.3035730668821795,0.012224418800624684,Metropolitan Manila,NCR,PH130000000
2020-06-24,60.0,4.0,45.0,2.4285714285714284,0.42785465802186384,0.028523643868124258,0.32089099351639777,0.0173179266342183,Metropolitan Manila,NCR,PH130000000
2020-06-25,62.0,2.0,48.14285714285714,3.142857142857143,0.442116479955926,0.014261821934062129,0.3433024279842097,0.02241143446781192,Metropolitan Manila,NCR,PH130000000
